,1-OFF-NO,1-OFF-YES,DCA-NO,DCA-YES
5162,151.0532635061025,150.09233594031934,145.97661791069083,150.09233594031934
5163,150.28223194695659,149.61617315554977,145.21437011684853,149.61617315554975
5164,149.51902040962386,149.14020614627603,144.45800285241327,149.140206146276
5165,148.76351052503588,148.6644347917825,143.70744832890023,148.6644347917825
5166,164.54508365284346,161.56876063844797,160.92427281038786,161.568760638448
5167,163.6772211196902,161.089558205653,160.08310538100818,161.089558205653
5168,162.8184532917395,160.61055307798756,159.24859313014355,160.61055307798756
5169,161.96863795316366,160.13174513362017,158.42065738699063,160.1317451336202
5170,161.1276358379048,159.65313425081962,157.5992207158351,159.65313425081965
5171,160.29531055359095,159.17472030795489,156.78420689190872,159.17472030795489
5172,159.47152850779557,158.696503183495,155.97554087781046,158.696503183495
5173,158.65615883655522,158.2184827560089,155.17314880047644,158.2184827560089
5174,157.84907333506666,157.7406589041656,154.37695792868354,157.74065890416557
5175,157.05014639048554,157.26303150673365,153.58689665107306,157.26303150673365
5176,172.3558114391887,169.70621897697788,170.32495370803474,169.70621897697788
5177,171.44993671147776,169.22535085055605,169.44833457099836,169.22535085055608
5178,170.55352252470735,168.74468071101717,168.57863628289795,168.74468071101722
5179,169.66642144639837,168.2642084361113,167.7157772065406,168.26420843611135
5180,168.78848909167857,167.78393390368916,166.85967698367642,167.78393390368916
5181,167.91958404494028,167.30385699170176,166.01025651005114,167.30385699170174
5182,167.0595677839024,166.82397757820092,165.16743791104034,166.8239775782009
5183,166.20830460599103,166.3442955413384,164.33114451784937,166.34429554133843
5184,165.36566155695672,165.8648107593665,163.50130084426453,165.8648107593665
5185,180.1126629917472,177.84334234485263,179.68523389450556,177.8433423448526
5186,179.16931873130483,177.36080866232777,178.77347457564156,177.36080866232774
5187,178.23579270240174,176.87847364835446,177.86889818914236,176.87847364835446
5188,177.3119324178341,176.3963371802646,176.97142018624558,176.3963371802646
5189,176.39758853184495,175.9143991354906,176.08095733994332,175.9143991354906
5190,175.49261475964113,175.43265939156615,175.19742771925397,175.43265939156615
5191,174.59686779937175,174.95111782612537,174.32075066409263,174.95111782612537
5192,173.71020725648123,174.46977431690323,173.45084676072378,174.46977431690323
5193,187.81619382958598,185.98013076275487,189.00537325272728,185.98013076275484
5194,186.8359142359306,185.49593166163788,188.05878225629624,185.49593166163788
5195,185.86580259016287,185.01193191065659,187.11963273531265,185.01193191065659
