,Date,Price,Open,High,Low,Vol.,Change %
132,2020-05-11,159.42,160.34,160.71,158.89,11.21M,-0.62%
133,2020-05-12,160.04,160.3,160.95,159.72,10.41M,0.39%
134,2020-05-13,161.58,160.95,161.62,160.54,10.95M,0.96%
135,2020-05-14,163.01,161.54,163.34,161.54,17.08M,0.89%
136,2020-05-15,163.93,164.02,164.7,163.1,13.92M,0.56%
137,2020-05-16,163.51666666666668,164.12333333333333,164.62666666666667,162.87333333333333,,
138,2020-05-17,163.10333333333332,164.2266666666667,164.5533333333333,162.64666666666665,,
139,2020-05-18,162.69,164.33,164.48,162.42,14.14M,-0.76%
140,2020-05-19,164.26,163.56,164.42,163.06,8.53M,0.97%
141,2020-05-20,164.65,164.5,164.94,163.89,10.67M,0.24%
142,2020-05-21,162.25,163.45,163.57,161.42,11.79M,-1.46%
143,2020-05-22,163.21,162.88,163.47,162.74,8.54M,0.59%
144,2020-05-23,162.63,162.7925,163.235,162.22750000000002,,
145,2020-05-24,162.05,162.70499999999998,163.0,161.715,,
146,2020-05-25,161.47,162.6175,162.765,161.2025,,
147,2020-05-26,160.89,162.53,162.53,160.69,13.97M,-1.42%
148,2020-05-27,161.18,159.31,161.33,159.24,13.06M,0.18%
149,2020-05-28,161.72,162.14,162.45,160.95,9.76M,0.34%
150,2020-05-29,162.91,162.58,163.4,162.32,12.58M,0.74%
151,2020-05-30,163.16,162.71666666666667,163.51333333333335,162.36666666666667,,
152,2020-05-31,163.41,162.85333333333335,163.62666666666667,162.41333333333333,,
153,2020-06-01,163.66,162.99,163.74,162.46,8.16M,0.46%
154,2020-06-02,162.6,163.93,164.07,161.86,10.39M,-0.65%
155,2020-06-03,159.6,160.31,160.89,158.83,17.00M,-1.85%
156,2020-06-04,161.28,161.14,161.82,159.87,10.09M,1.05%
157,2020-06-05,158.01,158.72,158.72,157.04,16.02M,-2.03%
158,2020-06-06,158.01,158.365,158.365,157.52499999999998,,
159,2020-06-07,158.01,158.01,158.01,158.01,-,0.00%
160,2020-06-08,159.72,158.86,159.85,158.49,9.24M,1.08%
161,2020-06-09,161.26,161.13,161.77,160.88,9.05M,0.96%
162,2020-06-10,163.57,162.12,163.61,160.53,13.01M,1.43%
163,2020-06-11,162.39,163.36,164.05,161.98,11.67M,-0.72%
164,2020-06-12,162.62,163.41,163.88,162.56,6.90M,0.14%
165,2020-06-13,162.52333333333334,162.44666666666666,163.41,161.77333333333334,,
166,2020-06-14,162.42666666666668,161.48333333333335,162.94,160.98666666666665,,
167,2020-06-15,162.33,160.52,162.47,160.2,8.54M,-0.18%
168,2020-06-16,162.25,161.87,162.68,161.38,7.97M,-0.05%
169,2020-06-17,162.56,161.93,162.61,161.77,4.76M,0.19%
170,2020-06-18,162.24,162.23,162.29,161.44,5.40M,-0.20%
171,2020-06-19,164.03,162.81,164.04,162.8,12.19M,1.10%
172,2020-06-20,164.38333333333333,163.56333333333333,164.6,163.34,,
173,2020-06-21,164.73666666666668,164.31666666666666,165.16,163.88,,
174,2020-06-22,165.09,165.07,165.72,164.42,12.39M,0.65%
175,2020-06-23,166.48,165.67,166.52,165.56,12.14M,0.84%
176,2020-06-24,165.9,165.97,166.96,165.49,10.90M,-0.35%
177,2020-06-25,165.8,165.88,165.89,165.19,7.09M,-0.06%
178,2020-06-26,166.54,164.87,166.56,164.22,9.75M,0.45%
179,2020-06-27,166.57,165.44,166.63666666666666,164.87333333333333,,
180,2020-06-28,166.6,166.01000000000002,166.71333333333334,165.52666666666667,,
181,2020-06-29,166.63,166.58,166.79,166.18,6.74M,0.05%
182,2020-06-30,167.37,166.31,167.99,166.2,12.76M,0.44%
183,2020-07-01,166.62,167.01,167.01,165.35,13.21M,-0.45%
184,2020-07-02,166.98,166.18,167.24,166.02,8.75M,0.22%
185,2020-07-03,166.98,166.57999999999998,167.11,166.5,,
186,2020-07-04,166.98,166.98,166.98,166.98,-,0.00%
187,2020-07-05,166.98,166.98,166.98,166.98,-,0.00%
188,2020-07-06,167.98,167.8,167.99,167.2,7.27M,0.60%
189,2020-07-07,169.04,167.41,169.04,167.38,11.63M,0.63%
190,2020-07-08,170.09,170.32,170.85,169.79,11.66M,0.62%
191,2020-07-09,169.63,170.48,170.62,168.79,13.33M,-0.27%
192,2020-07-10,169.19,169.95,170.15,168.58,8.22M,-0.26%
193,2020-07-11,169.19,169.19,169.19,169.19,-,0.00%
194,2020-07-12,169.19,169.19,169.19,169.19,-,0.00%
195,2020-07-13,169.4,170.3,170.41,169.19,11.10M,0.12%
196,2020-07-14,170.19,168.96,170.19,168.84,9.81M,0.47%
197,2020-07-15,170.34,169.68,170.41,169.39,7.53M,0.09%
198,2020-07-16,168.73,169.85,169.99,168.66,10.24M,-0.95%
199,2020-07-17,170.12,169.94,170.27,169.6,10.30M,0.82%
